<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIH2 [SPBFUT],Daily,20200825,000000,122560.000000,122560.000000,122560.000000,122560.000000,1.000000
RIH2 [SPBFUT],Daily,20200826,000000,123830.000000,123830.000000,121320.000000,121320.000000,2.000000
RIH2 [SPBFUT],Daily,20200827,000000,123000.000000,123000.000000,123000.000000,123000.000000,1.000000
RIH2 [SPBFUT],Daily,20200901,000000,124730.000000,130720.000000,111080.000000,122680.000000,12.000000
RIH2 [SPBFUT],Daily,20200904,000000,117690.000000,119800.000000,111780.000000,119800.000000,6.000000
RIH2 [SPBFUT],Daily,20200922,000000,115300.000000,115300.000000,115300.000000,115300.000000,1.000000
RIH2 [SPBFUT],Daily,20200923,000000,114580.000000,114580.000000,113070.000000,113070.000000,2.000000
RIH2 [SPBFUT],Daily,20200928,000000,113000.000000,113000.000000,113000.000000,113000.000000,1.000000
RIH2 [SPBFUT],Daily,20200930,000000,111880.000000,112200.000000,111880.000000,112200.000000,2.000000
RIH2 [SPBFUT],Daily,20201005,000000,110660.000000,110660.000000,110660.000000,110660.000000,1.000000
RIH2 [SPBFUT],Daily,20201009,000000,111560.000000,111560.000000,108700.000000,108700.000000,3.000000
RIH2 [SPBFUT],Daily,20201015,000000,110300.000000,110300.000000,110300.000000,110300.000000,2.000000
RIH2 [SPBFUT],Daily,20201016,000000,108020.000000,108020.000000,108020.000000,108020.000000,1.000000
RIH2 [SPBFUT],Daily,20201022,000000,111500.000000,111500.000000,111500.000000,111500.000000,1.000000
RIH2 [SPBFUT],Daily,20201023,000000,112600.000000,112600.000000,112600.000000,112600.000000,1.000000
RIH2 [SPBFUT],Daily,20201028,000000,107050.000000,107050.000000,107050.000000,107050.000000,1.000000
RIH2 [SPBFUT],Daily,20201105,000000,113000.000000,113000.000000,113000.000000,113000.000000,1.000000
RIH2 [SPBFUT],Daily,20201109,000000,115200.000000,115200.000000,115200.000000,115200.000000,1.000000
RIH2 [SPBFUT],Daily,20201110,000000,119080.000000,119080.000000,119080.000000,119080.000000,1.000000
RIH2 [SPBFUT],Daily,20201116,000000,123300.000000,123300.000000,123300.000000,123300.000000,1.000000
RIH2 [SPBFUT],Daily,20201125,000000,125510.000000,125510.000000,125510.000000,125510.000000,1.000000
RIH2 [SPBFUT],Daily,20201127,000000,125000.000000,125000.000000,125000.000000,125000.000000,1.000000
RIH2 [SPBFUT],Daily,20201201,000000,124500.000000,124500.000000,124500.000000,124500.000000,1.000000
RIH2 [SPBFUT],Daily,20201202,000000,127370.000000,127370.000000,127370.000000,127370.000000,1.000000
RIH2 [SPBFUT],Daily,20201203,000000,128400.000000,128400.000000,128400.000000,128400.000000,1.000000
RIH2 [SPBFUT],Daily,20201204,000000,129600.000000,130500.000000,129600.000000,129600.000000,3.000000
RIH2 [SPBFUT],Daily,20201207,000000,130200.000000,131530.000000,130200.000000,131530.000000,3.000000
RIH2 [SPBFUT],Daily,20210106,000000,139560.000000,142530.000000,138760.000000,138760.000000,12.000000
RIH2 [SPBFUT],Daily,20210108,000000,139570.000000,141390.000000,138870.000000,140940.000000,11.000000
RIH2 [SPBFUT],Daily,20210111,000000,140270.000000,141700.000000,139870.000000,140560.000000,7.000000
RIH2 [SPBFUT],Daily,20210112,000000,142360.000000,142360.000000,141050.000000,141050.000000,3.000000
RIH2 [SPBFUT],Daily,20210113,000000,141200.000000,141200.000000,141200.000000,141200.000000,1.000000
RIH2 [SPBFUT],Daily,20210114,000000,141070.000000,141070.000000,141070.000000,141070.000000,1.000000
RIH2 [SPBFUT],Daily,20210115,000000,142840.000000,142840.000000,142840.000000,142840.000000,1.000000
RIH2 [SPBFUT],Daily,20210118,000000,141000.000000,142200.000000,141000.000000,142200.000000,3.000000
RIH2 [SPBFUT],Daily,20210120,000000,143150.000000,143150.000000,143150.000000,143150.000000,1.000000
RIH2 [SPBFUT],Daily,20210202,000000,134270.000000,134270.000000,134270.000000,134270.000000,1.000000
RIH2 [SPBFUT],Daily,20210215,000000,144100.000000,144100.000000,144100.000000,144100.000000,1.000000
RIH2 [SPBFUT],Daily,20210217,000000,140990.000000,141590.000000,140990.000000,141590.000000,2.000000
RIH2 [SPBFUT],Daily,20210218,000000,139180.000000,139180.000000,139180.000000,139180.000000,1.000000
RIH2 [SPBFUT],Daily,20210222,000000,139860.000000,139860.000000,139860.000000,139860.000000,1.000000
RIH2 [SPBFUT],Daily,20210301,000000,135540.000000,138590.000000,135540.000000,138590.000000,2.000000
RIH2 [SPBFUT],Daily,20210302,000000,139000.000000,139000.000000,139000.000000,139000.000000,1.000000
RIH2 [SPBFUT],Daily,20210303,000000,141080.000000,141080.000000,141080.000000,141080.000000,1.000000
RIH2 [SPBFUT],Daily,20210305,000000,139400.000000,139400.000000,138970.000000,138970.000000,2.000000
RIH2 [SPBFUT],Daily,20210309,000000,141940.000000,142200.000000,141940.000000,142200.000000,2.000000
RIH2 [SPBFUT],Daily,20210310,000000,141500.000000,142490.000000,141500.000000,142490.000000,2.000000
RIH2 [SPBFUT],Daily,20210311,000000,143200.000000,143200.000000,143200.000000,143200.000000,1.000000
RIH2 [SPBFUT],Daily,20210312,000000,145210.000000,145210.000000,143080.000000,143080.000000,5.000000
RIH2 [SPBFUT],Daily,20210315,000000,147170.000000,147170.000000,147170.000000,147170.000000,1.000000
RIH2 [SPBFUT],Daily,20210316,000000,147750.000000,147750.000000,146960.000000,146960.000000,2.000000
RIH2 [SPBFUT],Daily,20210317,000000,147670.000000,151310.000000,142750.000000,144600.000000,15.000000
RIH2 [SPBFUT],Daily,20210318,000000,144730.000000,145000.000000,140000.000000,140000.000000,20.000000
RIH2 [SPBFUT],Daily,20210319,000000,140020.000000,142700.000000,140020.000000,141280.000000,9.000000
RIH2 [SPBFUT],Daily,20210323,000000,139970.000000,139970.000000,136690.000000,136980.000000,6.000000
RIH2 [SPBFUT],Daily,20210324,000000,138500.000000,138500.000000,138500.000000,138500.000000,1.000000
RIH2 [SPBFUT],Daily,20210325,000000,136600.000000,137600.000000,136600.000000,137600.000000,2.000000
RIH2 [SPBFUT],Daily,20210326,000000,138810.000000,141000.000000,138810.000000,141000.000000,2.000000
RIH2 [SPBFUT],Daily,20210331,000000,142320.000000,142320.000000,142320.000000,142320.000000,1.000000
RIH2 [SPBFUT],Daily,20210401,000000,142510.000000,142510.000000,140320.000000,140320.000000,2.000000
RIH2 [SPBFUT],Daily,20210405,000000,139700.000000,140000.000000,139700.000000,140000.000000,2.000000
RIH2 [SPBFUT],Daily,20210406,000000,139500.000000,139500.000000,137710.000000,137710.000000,3.000000
RIH2 [SPBFUT],Daily,20210407,000000,137590.000000,137590.000000,135850.000000,135850.000000,4.000000
RIH2 [SPBFUT],Daily,20210408,000000,138230.000000,138910.000000,138230.000000,138910.000000,3.000000
RIH2 [SPBFUT],Daily,20210409,000000,138460.000000,138460.000000,138320.000000,138320.000000,2.000000
RIH2 [SPBFUT],Daily,20210412,000000,136080.000000,138290.000000,135800.000000,138290.000000,4.000000
RIH2 [SPBFUT],Daily,20210413,000000,138730.000000,141070.000000,138730.000000,141070.000000,5.000000
RIH2 [SPBFUT],Daily,20210414,000000,142530.000000,142530.000000,142530.000000,142530.000000,1.000000
RIH2 [SPBFUT],Daily,20210415,000000,139020.000000,141860.000000,139020.000000,141860.000000,5.000000
RIH2 [SPBFUT],Daily,20210416,000000,142200.000000,143050.000000,142200.000000,143050.000000,8.000000
RIH2 [SPBFUT],Daily,20210419,000000,142690.000000,142690.000000,140940.000000,141580.000000,4.000000
RIH2 [SPBFUT],Daily,20210420,000000,142220.000000,142220.000000,140010.000000,140010.000000,7.000000
RIH2 [SPBFUT],Daily,20210421,000000,139840.000000,141000.000000,139840.000000,140590.000000,6.000000
RIH2 [SPBFUT],Daily,20210422,000000,143200.000000,143250.000000,142710.000000,143070.000000,19.000000
RIH2 [SPBFUT],Daily,20210423,000000,144250.000000,144250.000000,143500.000000,143500.000000,3.000000
RIH2 [SPBFUT],Daily,20210426,000000,144640.000000,145230.000000,144640.000000,144830.000000,5.000000
RIH2 [SPBFUT],Daily,20210427,000000,144910.000000,145650.000000,144130.000000,144250.000000,5.000000
RIH2 [SPBFUT],Daily,20210428,000000,144200.000000,145020.000000,144090.000000,144320.000000,4.000000
RIH2 [SPBFUT],Daily,20210429,000000,145000.000000,145000.000000,145000.000000,145000.000000,1.000000
RIH2 [SPBFUT],Daily,20210430,000000,142110.000000,142110.000000,141780.000000,141780.000000,2.000000
RIH2 [SPBFUT],Daily,20210504,000000,141940.000000,143410.000000,141940.000000,142310.000000,13.000000
RIH2 [SPBFUT],Daily,20210505,000000,144620.000000,145300.000000,144620.000000,145300.000000,2.000000
RIH2 [SPBFUT],Daily,20210506,000000,146000.000000,147500.000000,146000.000000,147500.000000,4.000000
RIH2 [SPBFUT],Daily,20210507,000000,148000.000000,148900.000000,148000.000000,148900.000000,4.000000
RIH2 [SPBFUT],Daily,20210510,000000,149050.000000,149150.000000,149050.000000,149150.000000,2.000000
RIH2 [SPBFUT],Daily,20210511,000000,147370.000000,148440.000000,147000.000000,147300.000000,5.000000
RIH2 [SPBFUT],Daily,20210512,000000,146780.000000,146780.000000,146780.000000,146780.000000,1.000000
RIH2 [SPBFUT],Daily,20210513,000000,146930.000000,146930.000000,146930.000000,146930.000000,1.000000
RIH2 [SPBFUT],Daily,20210514,000000,148700.000000,148700.000000,147750.000000,147750.000000,2.000000
RIH2 [SPBFUT],Daily,20210517,000000,149000.000000,149300.000000,148800.000000,148800.000000,6.000000
RIH2 [SPBFUT],Daily,20210518,000000,149300.000000,150000.000000,149300.000000,150000.000000,14.000000
RIH2 [SPBFUT],Daily,20210519,000000,147280.000000,147280.000000,147280.000000,147280.000000,1.000000
RIH2 [SPBFUT],Daily,20210520,000000,146670.000000,147180.000000,146660.000000,147180.000000,3.000000
RIH2 [SPBFUT],Daily,20210521,000000,147080.000000,151150.000000,147080.000000,149200.000000,6.000000
RIH2 [SPBFUT],Daily,20210524,000000,148830.000000,149200.000000,148380.000000,149200.000000,4.000000
RIH2 [SPBFUT],Daily,20210525,000000,149800.000000,149900.000000,149800.000000,149900.000000,3.000000
RIH2 [SPBFUT],Daily,20210526,000000,150650.000000,150650.000000,150650.000000,150650.000000,1.000000
RIH2 [SPBFUT],Daily,20210527,000000,151100.000000,151100.000000,151100.000000,151100.000000,1.000000
RIH2 [SPBFUT],Daily,20210528,000000,152000.000000,152040.000000,151400.000000,152040.000000,3.000000
RIH2 [SPBFUT],Daily,20210531,000000,151720.000000,153340.000000,151710.000000,153340.000000,16.000000
RIH2 [SPBFUT],Daily,20210601,000000,153380.000000,154580.000000,153380.000000,154580.000000,3.000000
RIH2 [SPBFUT],Daily,20210602,000000,156700.000000,156700.000000,156700.000000,156700.000000,1.000000
RIH2 [SPBFUT],Daily,20210603,000000,158900.000000,158900.000000,156900.000000,156900.000000,6.000000
RIH2 [SPBFUT],Daily,20210604,000000,156200.000000,157820.000000,156200.000000,157820.000000,6.000000
