<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIU2 [SPBFUT],Daily,20200910,000000,121010.000000,121010.000000,112000.000000,112000.000000,2.000000
RIU2 [SPBFUT],Daily,20200921,000000,115000.000000,115000.000000,115000.000000,115000.000000,1.000000
RIU2 [SPBFUT],Daily,20200929,000000,110000.000000,110000.000000,110000.000000,110000.000000,2.000000
RIU2 [SPBFUT],Daily,20201016,000000,107170.000000,107170.000000,106920.000000,106920.000000,4.000000
RIU2 [SPBFUT],Daily,20201023,000000,110400.000000,110400.000000,110400.000000,110400.000000,1.000000
RIU2 [SPBFUT],Daily,20201028,000000,105000.000000,105000.000000,103150.000000,103150.000000,3.000000
RIU2 [SPBFUT],Daily,20201029,000000,103370.000000,103370.000000,103370.000000,103370.000000,1.000000
RIU2 [SPBFUT],Daily,20201102,000000,100000.000000,100000.000000,100000.000000,100000.000000,1.000000
RIU2 [SPBFUT],Daily,20201103,000000,103050.000000,104810.000000,103040.000000,104810.000000,4.000000
RIU2 [SPBFUT],Daily,20201110,000000,117410.000000,117410.000000,117410.000000,117410.000000,1.000000
RIU2 [SPBFUT],Daily,20201116,000000,122300.000000,122300.000000,122300.000000,122300.000000,1.000000
RIU2 [SPBFUT],Daily,20201118,000000,122440.000000,122440.000000,122440.000000,122440.000000,1.000000
RIU2 [SPBFUT],Daily,20201126,000000,123420.000000,123420.000000,123420.000000,123420.000000,1.000000
RIU2 [SPBFUT],Daily,20201130,000000,123190.000000,123190.000000,122630.000000,122630.000000,2.000000
RIU2 [SPBFUT],Daily,20201207,000000,130000.000000,130000.000000,130000.000000,130000.000000,2.000000
RIU2 [SPBFUT],Daily,20201209,000000,130500.000000,130500.000000,130500.000000,130500.000000,2.000000
RIU2 [SPBFUT],Daily,20201210,000000,131000.000000,134010.000000,131000.000000,132040.000000,6.000000
RIU2 [SPBFUT],Daily,20201215,000000,131770.000000,131770.000000,131770.000000,131770.000000,1.000000
RIU2 [SPBFUT],Daily,20201217,000000,133240.000000,133240.000000,133240.000000,133240.000000,1.000000
RIU2 [SPBFUT],Daily,20201221,000000,125510.000000,125510.000000,125510.000000,125510.000000,1.000000
RIU2 [SPBFUT],Daily,20210104,000000,136500.000000,136500.000000,136500.000000,136500.000000,1.000000
RIU2 [SPBFUT],Daily,20210106,000000,135670.000000,135840.000000,135380.000000,135380.000000,3.000000
RIU2 [SPBFUT],Daily,20210108,000000,138840.000000,138840.000000,138840.000000,138840.000000,1.000000
RIU2 [SPBFUT],Daily,20210113,000000,141060.000000,141060.000000,141060.000000,141060.000000,1.000000
RIU2 [SPBFUT],Daily,20210114,000000,140540.000000,140540.000000,140540.000000,140540.000000,1.000000
RIU2 [SPBFUT],Daily,20210121,000000,139800.000000,139800.000000,139800.000000,139800.000000,1.000000
RIU2 [SPBFUT],Daily,20210122,000000,136320.000000,137290.000000,136320.000000,137290.000000,2.000000
